"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories.","churn_status"
"97",59268,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,"107",1,2017-08-21,0,0,0,1,0,0,0,390,0,0,0,390,0,0,0,390,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"98",59277,"SURREY,BC,V3S2B5","BC",1,100,"COMMISSION","Not Specified",1,"107",1,2017-11-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"99",59285,"CANTON","OH",1,0,"WEEKLY","0",1,"107",70,2017-10-27,0,0,0,48,0,0,0,515.583333333333,0,0,0,24748,0,0,0,515.583333333333,0,0,0,24748,0,0,0,0,0,0,0,0,0,0,0,5.625,0,0,0,270,0.5,0.5,0.5,0.75,"less than or equal to 3 month",TRUE
"100",59320,"PHILADELPHIA","PA",1,100,"COMMISSION","0",0,"236",307,2018-04-03,0,28,71,192,0,1011.21428571429,1088.72535211268,1313.09104166667,0,28314,77299.5,252113.48,0,976.214285714286,1063.54225352113,1295.57020833333,0,27334,75511.5,248749.48,0,35,25.1830985915493,17.5208333333333,0,980,1788,3364,0,3.75,4.46478873239437,4.19791666666667,0,105,317,806,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"101",59344,"WOONSOCKET","RI",1,100,"COMMISSION","Not Specified",1,"107",1,2017-06-21,0,0,0,1,0,0,0,776.22,0,0,0,776.22,0,0,0,776.22,0,0,0,776.22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"102",59353,"FITCHBURG","MA",1,100,"COMMISSION","0",1,"107",1,2017-11-01,0,0,0,1,0,0,0,1582.26,0,0,0,1582.26,0,0,0,1582.26,0,0,0,1582.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"103",59400,"BAYAMON","PR",1,100,"COMMISSION","0",1,"107",1,2017-09-16,0,0,0,1,0,0,0,290,0,0,0,290,0,0,0,290,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"104",59470,"ROCKFORD","IL",1,100,"COMMISSION","0",1,"107",1,2017-07-22,0,0,0,1,0,0,0,568,0,0,0,568,0,0,0,348,0,0,0,348,0,0,0,220,0,0,0,220,0,0,0,2,0,0,0,2,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"105",59481,"FT MYERS","FL",1,100,"COMMISSION","0",0,"236",345,2018-05-11,9,52,94,240,1133.33333333333,925.961538461538,928.723404255319,913.4,10200,48150,87300,219216,1133.33333333333,923.076923076923,927.127659574468,912.775,10200,48000,87150,219066,0,2.88461538461538,1.59574468085106,0.625,0,150,150,150,7.55555555555556,6.30769230769231,6.29787234042553,6.3,68,328,592,1512,1,0.869565217391304,0.752941176470588,0.706161137440758,"more than 6 month",FALSE
"106",59558,"SYRACUSE","NY",1,100,"COMMISSION","0",0,"236",317,2018-04-13,0,12,52,115,0,1016.36,949.747692307692,945.658260869565,0,12196.32,49386.88,108750.7,0,1016.36,949.747692307692,945.658260869565,0,12196.32,49386.88,108750.7,0,0,0,0,0,0,0,0,0,14.6666666666667,13.3653846153846,13.2695652173913,0,176,695,1526,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"107",59575,"TYLER","TX",1,100,"COMMISSION","0",1,"107",1,2017-07-13,0,0,0,1,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"108",59579,"BOZEMAN","MT",1,100,"COMMISSION","0",1,"107",65,2018-01-27,0,0,17,44,0,0,1202.01647058824,1194.62045454545,0,0,20434.28,52563.3,0,0,1087.37058823529,1019.89454545455,0,0,18485.3,44875.36,0,0,114.645882352941,174.725909090909,0,0,1948.98,7687.94,0,0,16.3529411764706,14.3181818181818,0,0,278,630,0.5,0.5,0.666666666666667,0.805555555555556,"less than or equal to 3 month",TRUE
"109",59590,"PEMBROKE PINES","FL",1,100,"COMMISSION","0",0,"236",351,2018-05-17,7,37,64,138,963.028571428571,648.6,638.009375,666.540579710145,6741.2,23998.2,40832.6,91982.6,963.028571428571,639.032432432432,632.478125,658.366666666667,6741.2,23644.2,40478.6,90854.6,0,9.56756756756757,5.53125,8.17391304347826,0,354,354,1128,3.28571428571429,2.37837837837838,2.359375,2.03623188405797,23,88,151,281,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
